社員番号,研修実施日,研修カテゴリ,研修名
025slTVvMtXAJpcZ4_oCMQ==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例② CDP
025slTVvMtXAJpcZ4_oCMQ==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例②
025slTVvMtXAJpcZ4_oCMQ==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
025slTVvMtXAJpcZ4_oCMQ==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例②
025slTVvMtXAJpcZ4_oCMQ==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例③
025slTVvMtXAJpcZ4_oCMQ==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例④
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 09:19:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 12:49:54,リテラシー_DX基礎,【DX基礎研修】ディスラプター①
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-19 13:08:32,リテラシー_DX基礎,【DX基礎研修】社内事例④
03JjkIt5W4ep0uQjmvfRoQ==,2022-04-19 15:41:26,リテラシー_DX基礎,【DX基礎研修】社内事例⑥
03JjkIt5W4ep0uQjmvfRoQ==,2022-12-06 00:00:00,デジタルマーケティング_基礎,UGC×SNSを活用したマーケティング研修〈12月）
03JjkIt5W4ep0uQjmvfRoQ==,2022-12-21 00:00:00,デジタルマーケティング_基礎,動画×SNSを活用したマーケティング研修
03JjkIt5W4ep0uQjmvfRoQ==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
03JjkIt5W4ep0uQjmvfRoQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例③
03JjkIt5W4ep0uQjmvfRoQ==,2023-08-09 00:00:00,データ利活用_実践,事業データと活用研修
05IaeOcxSZ3C1yQmkdUvqg==,2022-12-06 00:00:00,デジタルマーケティング_基礎,UGC×SNSを活用したマーケティング研修〈12月）
05IaeOcxSZ3C1yQmkdUvqg==,2022-12-21 00:00:00,デジタルマーケティング_基礎,動画×SNSを活用したマーケティング研修
05zbwbT_Cs8F925s_NvPpw==,2024-09-25 00:00:00,DX講演会,【LB00-1】講演会AI0925
0AEcFpd04jEO1zt7H9tENg==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
0DfpkqBN26xvHGGQErQiQA==,2022-08-04 00:00:00,プロダクト開発_基礎,UI基礎〈8月）
0DfpkqBN26xvHGGQErQiQA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF基礎
0DfpkqBN26xvHGGQErQiQA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
0DfpkqBN26xvHGGQErQiQA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
0DfpkqBN26xvHGGQErQiQA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例①
0DfpkqBN26xvHGGQErQiQA==,2023-09-27 00:00:00,データ利活用_実践,データ連携を知る
0DfpkqBN26xvHGGQErQiQA==,2024-04-16 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例
0DfpkqBN26xvHGGQErQiQA==,2024-09-20 00:00:00,データ利活用_基礎,【DB06】顧客データ管理・活用0920
0E6Y8fk62i5UqwD13N-diA==,2022-08-18 00:00:00,プロダクト開発_基礎,Webサイト基礎　～はじめてのWebサイト～〈8月）
0E6Y8fk62i5UqwD13N-diA==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
0E6Y8fk62i5UqwD13N-diA==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論 UX概論 UIUX実践例・工夫例
0E6Y8fk62i5UqwD13N-diA==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例②
0Ei1fYfFWf9vj9-TGiJjmg==,2022-07-25 00:00:00,データ利活用_実践,概要【Power BIでラクラク可視化】データ分析入門
0Ei1fYfFWf9vj9-TGiJjmg==,2022-08-01 00:00:00,データ利活用_基礎,社内実例で学ぶセグメント＆スコアリング基礎
0Ei1fYfFWf9vj9-TGiJjmg==,2022-08-08 00:00:00,データ利活用_実践,応用【Power BIでラクラク可視化】データ分析入門
0Ei1fYfFWf9vj9-TGiJjmg==,2022-10-07 00:00:00,データ利活用_基礎,ログ定義基礎〈10月）
0Ei1fYfFWf9vj9-TGiJjmg==,2022-12-06 00:00:00,デジタルマーケティング_基礎,UGC×SNSを活用したマーケティング研修〈12月）
0Ei1fYfFWf9vj9-TGiJjmg==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
0Ei1fYfFWf9vj9-TGiJjmg==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
0Ei1fYfFWf9vj9-TGiJjmg==,2023-03-09 00:00:00,DX講演会,アフターデジタル時代のUX経営
0Ei1fYfFWf9vj9-TGiJjmg==,2023-09-28 00:00:00,DX講演会,先生DX講演会
0GjP2VcWeUsjMBTm_VhBgw==,2022-08-01 00:00:00,データ利活用_基礎,社内実例で学ぶセグメント＆スコアリング基礎
0GjP2VcWeUsjMBTm_VhBgw==,2022-08-26 00:00:00,データ利活用_実践,知り得！データ利活用実践
0GjP2VcWeUsjMBTm_VhBgw==,2022-09-08 00:00:00,デジタルマーケティング_基礎,インサイトフル導入研修
0GjP2VcWeUsjMBTm_VhBgw==,2022-12-21 00:00:00,デジタルマーケティング_基礎,動画×SNSを活用したマーケティング研修
0GjP2VcWeUsjMBTm_VhBgw==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例② CDP
0GjP2VcWeUsjMBTm_VhBgw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
0GjP2VcWeUsjMBTm_VhBgw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例③
0GjP2VcWeUsjMBTm_VhBgw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例④
0I2ETStnyN4dfgIlbmzJGw==,2023-09-01 00:00:00,データ利活用_実践,データと活用研修
0P_NOdwbvoIFnTzUi1mX5A==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF基礎
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】コンプライアンス・セキュリティ
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例①
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例②
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例③
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論 UX概論 UIUX実践例・工夫例
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例① コアとなっている技術や思想とサービス紹介
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例① インフルエンサーマーケティング
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】デジタルマーケ事例② CDP
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例②
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例①
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例②
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例③
0Qsy_fWDiaB6uTsHYYMogw==,2023-04-20 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例④
0QvvkLZfOwtoLcKiRQGLxg==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
0QvvkLZfOwtoLcKiRQGLxg==,2024-12-09 00:00:00,DX勉強会 ,【LB00-03】DX勉強会 1209
0S3hQ8FOxyrTHH7_iUb4zw==,2022-12-21 00:00:00,デジタルマーケティング_基礎,動画×SNSを活用したマーケティング研修
0S3hQ8FOxyrTHH7_iUb4zw==,2023-03-09 00:00:00,DX講演会,アフターデジタル時代のUX経営
0S3hQ8FOxyrTHH7_iUb4zw==,2024-07-11 00:00:00,デジタルマーケティング_基礎,【MB02】デジマ基礎①
0S3hQ8FOxyrTHH7_iUb4zw==,2024-07-24 00:00:00,データ利活用_実践,【DP04】アプローチのためのデータ利活用研修
0S3hQ8FOxyrTHH7_iUb4zw==,2024-07-26 00:00:00,データ利活用_実践,【DP11】データ活用研修（中級編）
0Su6Ey_toLWK8jVFQiVhGg==,2022-12-06 00:00:00,デジタルマーケティング_基礎,UGC×SNSを活用したマーケティング研修〈12月）
0_3YNDj-dcRD6dxu_9Q9yA==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
0_3YNDj-dcRD6dxu_9Q9yA==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
0cQ8lKZfH1sfS6peQtW7Ug==,2023-09-28 00:00:00,DX講演会,先生DX講演会
0fWJF-ggvkjwfcClYeDg4Q==,2023-09-28 00:00:00,DX講演会,先生DX講演会
0fWJF-ggvkjwfcClYeDg4Q==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
0iQBpEJpd-7c53i10MTZXQ==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
0iQBpEJpd-7c53i10MTZXQ==,2024-09-25 00:00:00,DX講演会,【LB00-1】講演会AI0925
0mGHaAda3EHXT89sK3jDpg==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
0ubt5W_Pe8uAqhOZcePLlQ==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
0uqnwQ5p1gDaRV6CUcYByA==,2023-09-28 00:00:00,DX講演会,先生DX講演会
0uqnwQ5p1gDaRV6CUcYByA==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
0walOLmuBtrQ9e3A21feoQ==,2023-09-28 00:00:00,DX講演会,先生DX講演会
0x057bz7k5e_hSetoei33A==,2023-09-01 00:00:00,データ利活用_実践,データと活用研修
0x057bz7k5e_hSetoei33A==,2024-04-16 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例①
0x057bz7k5e_hSetoei33A==,2024-04-16 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり事例②
0x057bz7k5e_hSetoei33A==,2024-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】社内事例③
1CLboo_iDk6bHSZV0KNqvQ==,2023-01-19 00:00:00,DX講演会,「デジタル革命の先にある新しい社会」
1CLboo_iDk6bHSZV0KNqvQ==,2023-03-09 00:00:00,DX講演会,アフターデジタル時代のUX経営
1CLboo_iDk6bHSZV0KNqvQ==,2023-04-19 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF事例① コアとなっている技術や思想とサービス紹介
1CLboo_iDk6bHSZV0KNqvQ==,2023-12-11 00:00:00,DX講演会,IT３社講演会「生成AI」　
1RCZF5GXt4XpYQX8VhhbhQ==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
1RCZF5GXt4XpYQX8VhhbhQ==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
1SLhadxfipVkNqzDjIfWIw==,2023-01-26 00:00:00,DX講演会,コミュニケーション学 「ツッコミ講座」
1SLhadxfipVkNqzDjIfWIw==,2023-09-28 00:00:00,DX講演会,先生DX講演会
1SrQ8AJMpbzSC5d5LV-nBg==,2022-07-25 00:00:00,データ利活用_実践,概要【Power BIでラクラク可視化】データ分析入門
1SrQ8AJMpbzSC5d5LV-nBg==,2022-08-01 00:00:00,データ利活用_実践,基本【Power BIでラクラク可視化】データ分析入門
1SrQ8AJMpbzSC5d5LV-nBg==,2022-08-08 00:00:00,データ利活用_実践,応用【Power BIでラクラク可視化】データ分析入門
1SrQ8AJMpbzSC5d5LV-nBg==,2023-07-27 00:00:00,デジタルマーケティング_基礎,デジタルマーケティング基礎
1SrQ8AJMpbzSC5d5LV-nBg==,2023-09-05 00:00:00,プロダクト開発_基礎,Webサイト基礎②
1SrQ8AJMpbzSC5d5LV-nBg==,2023-09-25 00:00:00,プロダクト開発_基礎,UX基礎②
1SrQ8AJMpbzSC5d5LV-nBg==,2024-07-11 00:00:00,データ利活用_実践,【DP05】効果検証研修
1VAllZ0p-AdRJvJ96dXLCw==,2022-08-04 00:00:00,プロダクト開発_基礎,UI基礎〈8月）
1VAllZ0p-AdRJvJ96dXLCw==,2022-08-25 00:00:00,プロダクト開発_基礎,UX基礎〈8月）
1VAllZ0p-AdRJvJ96dXLCw==,2024-11-29 00:00:00,DX講演会,【LB00-02】DX講演会 教育に生成AI 1129
1aM1TsKJsvX_dXC8hOcUGw==,2023-09-01 00:00:00,データ利活用_実践,データと活用研修
1aTSGv1DGxZnhL7B9LNFxQ==,2023-03-09 00:00:00,DX講演会,アフターデジタル時代のUX経営
1aTSGv1DGxZnhL7B9LNFxQ==,2023-04-17 00:00:00,リテラシー_DX基礎,【DX基礎研修】DIF基礎
1aTSGv1DGxZnhL7B9LNFxQ==,2023-04-18 00:00:00,リテラシー_DX基礎,【DX基礎研修】ものづくり概論 UX概論 UIUX実践例・工夫例
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 09:19:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 12:49:54,リテラシー_DX基礎,【DX基礎研修】ディスラプター①
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
1b0fcEDup_QqNqhLDfYwTw==,2022-04-18 14:21:45,リテラシー_DX基礎,【DX基礎研修】ディスラプター②
1b0fcEDup_QqNqhLDfYwTw==,2022-04-19 13:08:32,リテラシー_DX基礎,【DX基礎研修】社内事例④
1b0fcEDup_QqNqhLDfYwTw==,2022-04-19 15:41:26,リテラシー_DX基礎,【DX基礎研修】社内事例⑥
1isAKI6yag5sgTOCyfzcuA==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】DX概論
1isAKI6yag5sgTOCyfzcuA==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
1isAKI6yag5sgTOCyfzcuA==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
1jHsMweqSrAUo2EEqosclQ==,2023-08-08 00:00:00,プロダクト開発_基礎,UI基礎②
1jHsMweqSrAUo2EEqosclQ==,2023-08-09 00:00:00,データ利活用_実践,事業データと活用研修
1nGECE7KFvePV9ge2ddM9w==,2022-04-18 09:19:00,リテラシー_DX基礎,【DX基礎研修】イントロダクション
1nGECE7KFvePV9ge2ddM9w==,2022-04-18 10:10:08,リテラシー_DX基礎,【DX基礎研修】DX概論
1nGECE7KFvePV9ge2ddM9w==,2022-04-18 12:49:54,リテラシー_DX基礎,【DX基礎研修】ディスラプター①
1nGECE7KFvePV9ge2ddM9w==,2022-04-19 13:08:32,リテラシー_DX基礎,【DX基礎研修】社内事例④
1pqEFMjNcaVNK2p20qKupA==,2023-09-28 00:00:00,DX講演会,先生DX講演会
1qvLTJnZptZnuBenz0dXbw==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター事例
1qvLTJnZptZnuBenz0dXbw==,2024-04-15 00:00:00,リテラシー_DX基礎,【DX基礎研修】ディスラプター基礎
