社員番号,カテゴリ,研修名,実施日
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-06-06 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,アカウンティング,2024-07-17 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-tzMIv5OwqYohV8ZF2NoJw==,ビジネススキルアップ研修,管理会計,2024-10-09 00:00:00
-uOTihGNjUn1GqzWTp32UQ==,スキルアップ支援,,2024-07-30 00:00:00
01Rd2_ulwBeNdwf3t9jx9g==,スキルアップ支援,,2022-12-01 00:00:00
01Rd2_ulwBeNdwf3t9jx9g==,スキルアップ支援,,2023-04-22 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,2年目研修,2年目研修,2024-06-14 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員初期研修,2023/04/03-2023/04/90
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員初期研修,2023/04/03-2023/04/90
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員初期研修,2023/04/03-2023/04/90
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
025slTVvMtXAJpcZ4_oCMQ==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,2年目研修,2年目研修,2023-06-16 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,3年目研修,3年目研修,2024/9/12-2024/9/13
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員3か月後研修,2022-07-01 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員3か月後研修,2022-07-01 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員3か月後研修,2022-07-01 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員初期研修,2022/4/1-22
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員初期研修,2022/4/1-22
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員初期研修,2022/4/1-22
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員半年後研修,2022-09-02 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員半年後研修,2022-09-02 00:00:00
03JjkIt5W4ep0uQjmvfRoQ==,初期育成,新入社員半年後研修,2022-09-02 00:00:00
05IaeOcxSZ3C1yQmkdUvqg==,スキルアップ支援,,2023-08-01 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
05zbwbT_Cs8F925s_NvPpw==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
09s8NIIHqDsyBdBHmeoLqQ==,中途研修,中途研修,2024-07-25 00:00:00
0DfpkqBN26xvHGGQErQiQA==,スキルアップ支援,,2023-04-26 00:00:00
0Ei1fYfFWf9vj9-TGiJjmg==,スキルアップ支援,,2023-05-26 00:00:00
0HKdBIlMNQRhWrdfg5Do5A==,スキルアップ支援,,2022-10-09 00:00:00
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,ビジネススキルアップ研修,マーケティング,"2022/9/7,2022/9/21"
0OJc5twPDXPKoGpiYeoHrA==,中途研修,中途研修,2023-07-13 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,キャリア面談,社内カウンセラーによるキャリア相談,2024-12-01 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,キャリア面談,社内カウンセラーによるキャリア相談,2024-12-01 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0P_NOdwbvoIFnTzUi1mX5A==,ビジネススキルアップ研修,経営戦略,2024-11-07 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,2年目研修,2年目研修,2024-06-14 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員3か月後研修,2023-07-07 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員初期研修,2023/04/03-2023/04/86
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員初期研修,2023/04/03-2023/04/86
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員初期研修,2023/04/03-2023/04/86
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
0Qsy_fWDiaB6uTsHYYMogw==,初期育成,新入社員半年後研修,2023-09-08 00:00:00
0QvvkLZfOwtoLcKiRQGLxg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
0QvvkLZfOwtoLcKiRQGLxg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
0QvvkLZfOwtoLcKiRQGLxg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
0QvvkLZfOwtoLcKiRQGLxg==,キャリア面談,社外カウンセラーによるキャリア面談,2024-12-01 00:00:00
0QvvkLZfOwtoLcKiRQGLxg==,スキルアップ支援,,2022-09-15 00:00:00
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,アカウンティング,"2022/11/7,2022/11/28"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0Su6Ey_toLWK8jVFQiVhGg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
0VfcW1JJxSu5qhWfDcVlzA==,スキルアップ支援,,2023-01-29 00:00:00
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
0VfcW1JJxSu5qhWfDcVlzA==,中途研修,中途研修,2023-07-14 00:00:00
0WoMbG3sxRLvN44QqQxaNQ==,スキルアップ支援,,2023-09-09 00:00:00
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,ビジネススキルアップ研修,管理会計,"2023/8/7,2023/8/30"
0WoMbG3sxRLvN44QqQxaNQ==,中途研修,中途研修,2024-07-25 00:00:00
0cQ8lKZfH1sfS6peQtW7Ug==,スキルアップ支援,,2023-06-10 00:00:00
0djxrtQQVvfB5vTBK1H-Mg==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/86"
0djxrtQQVvfB5vTBK1H-Mg==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/86"
0eR3ApagbvDrvtlwJQpnwQ==,キャリア面談,社内カウンセラーによるキャリア相談,2024-12-01 00:00:00
0eR3ApagbvDrvtlwJQpnwQ==,キャリア面談,社内カウンセラーによるキャリア相談,2024-12-01 00:00:00
0iQBpEJpd-7c53i10MTZXQ==,管理職研修,新任課長研修,2022-04-26 00:00:00
0iQBpEJpd-7c53i10MTZXQ==,管理職研修,新任課長研修,2022-04-26 00:00:00
0nX246RRj31n4sqq1fa50w==,スキルアップ支援,,2023-11-22 00:00:00
0onrwjjBqr-lxmyWYVrQHg==,3等級昇格者研修,3等級昇格者研修,2022-09-30 00:00:00
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0onrwjjBqr-lxmyWYVrQHg==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2022/10/12,2022/10/26"
0uhXFkst8ubfJIW2IGhocw==,スキルアップ支援,,2021-12-27 00:00:00
0uhXFkst8ubfJIW2IGhocw==,スキルアップ支援,,2023-05-28 00:00:00
0w0DJOeoAyLoV04wncFFRg==,中途研修,中途研修,2023-07-13 00:00:00
0wRM_kgKln2QvVnT0KaxUA==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/51"
0wRM_kgKln2QvVnT0KaxUA==,マネジメント研修,新任課長研修,"2024/5/17,2024/7/51"
0wRM_kgKln2QvVnT0KaxUA==,管理職研修,新任課長研修,2023-04-25 00:00:00
0wRM_kgKln2QvVnT0KaxUA==,管理職研修,新任課長研修,2023-04-25 00:00:00
0walOLmuBtrQ9e3A21feoQ==,スキルアップ支援,,2023-06-20 00:00:00
15LwBs8l3ZiOTXC-ro10TQ==,3等級昇格者研修,3等級昇格者研修,2022-09-30 00:00:00
15LwBs8l3ZiOTXC-ro10TQ==,スキルアップ支援,,2022-12-28 00:00:00
15LwBs8l3ZiOTXC-ro10TQ==,スキルアップ支援,,2023-04-16 00:00:00
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2022/8/9,2022/8/30"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,アカウンティング,"2023/7/10,2023/7/31"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,マーケティング,"2022/11/15,2022/11/29"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
15LwBs8l3ZiOTXC-ro10TQ==,ビジネススキルアップ研修,財務計画・収益シミュレーション,"2023/10/3,2023/10/10,2023/10/17"
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
182idrQW0mrd9j52ieK_5A==,ビジネススキルアップ研修,経営戦略,2024-08-21 00:00:00
1C59zugNLEKiFuTHytriIA==,2年目研修,2年目研修,2022-06-10 00:00:00
1C59zugNLEKiFuTHytriIA==,3年目研修,3年目研修,"2023/09/26,2023/09/27"
1CLboo_iDk6bHSZV0KNqvQ==,スキルアップ支援,,2023-02-02 00:00:00
